loan_id,customer_id,start_date,principal,interest_rate_annual,term_months,status,delinquency_bucket,npl_flag
L500000,C101138,23/01/2023,500.0,0.117,24,current,0-30,0
L500001,C103567,2023-02-23,500.0,0.128,12,delinquent,31-60,0
L500002,C101062,2023-10-08,500.0,0.139,12,paid_off,0-30,0
L500003,C102978,2022-07-16,500.0,0.12,24,current,0-30,0
L500004,C105368,2024-06-10,500.0,0.084,12,delinquent,61-90,1
L500005,C107579,2025-02-16,500.0,0.123,12,paid_off,0-30,0
L500006,C104644,29/11/2024,500.0,0.088,6,current,0-30,0
L500007,C102577,2023-12-02,500.0,0.117,24,current,0-30,0
L500008,C101168,2024-07-14,500.0,0.137,18,paid_off,0-30,0
L500009,C104168,2022-06-25,500.0,0.138,48,current,0-30,0
L500010,C105048,30/05/2023,500.0,,12,paid_off,0-30,0
L500011,C101438,2022-07-02,500.0,0.117,24,paid_off,0-30,0
L500012,C105464,2025-01-08,500.0,0.078,12,current,0-30,0
L500013,C102417,2025-01-30,500.0,0.159,36,delinquent,61-90,1
L500014,C100185,2023-02-12,500.0,0.148,12,current,0-30,0
L500015,C103566,27/10/2022,500.0,0.083,6, paid_off,0-30,0
L500016,C107386,10/02/2022,500.0,0.134,12,current,0-30,0
L500017,C100966,2024-07-26,500.0,0.159,24,current,0-30,0
L500018,C104868,20/02/2025,500.0,0.154,36,paid_off,0-30,0
L500019,C107819,2022-04-27,500.0,0.096,12,paid_off,0-30,0
L500020,C107151,11/02/2024,500.0,0.154,36,paid_off,0-30,0
L500021,C100505,09/03/2025,500.0,0.158,12,delinquent,61-90,1
L500022,C106709,18/02/2025,500.0,0.127,12,delinquent,31-60,0
L500023,C104929,26/11/2023,500.0,0.11,18,paid_off,0-30,0
L500024,C104885,01/09/2024,500.0,0.118,24,current,0-30,0
L500025,C106822,2024-05-04,500.0,0.117,48,current ,0-30,0
L500026,C105753,2024-05-05,500.0,0.145,18,paid_off,0-30,0
L500027,C104709,2025-08-02,500.0,,18,paid_off,0-30,0
L500028,C102501,2025-01-11,500.0,0.098,48,current,0-30,0
L500029,C105515,2025-03-01,500.0,0.101,12,paid_off,0-30,0
L500030,C105818,2023-10-09,500.0,0.155,12,current,0-30,0
L500031,C101850,2025-01-01,500.0,0.112,18,current,0-30,0
L500032,C100087,07/01/2022,500.0,0.143,36,delinquent,61-90,1
L500033,C107905,2022-01-11,500.0,0.12,18,current,0-30,0
L500034,C106923,2024-08-06,500.0,0.145,12,current,31-60,0
L500035,C104722,20/11/2022,500.0,0.182,24,current,0-30,0
L500036,C107326,2024-08-02,500.0,,36,current,31-60,0
L500037,C107951,06/05/2022,500.0,0.187,18,paid_off,0-30,0
L500038,C102024,2024-09-02,500.0,0.086,36,current,0-30,0
L500039,C105282,2023-10-25,500.0,0.095,12,paid_off,0-30 ,0
L500040,C102005,2022-07-10,500.0,0.114,36,paid_off,0-30,0
L500041,C104619,2024-02-09,500.0,0.17,12,delinquent,61-90,1
L500042,C100720,2024-04-20,500.0,0.144,12,current,0-30,0
L500043,C105618,2025-04-10,500.0,0.074,36,paid_off,0-30,0
L500044,C103422,2025-09-29,500.0,0.162,18,current,0-30,0
L500045,C107786,2023-10-26,500.0,0.131,48,delinquent,61-90,1
L500046,C102838,2022-06-13,500.0,,24,current,31-60,0
L500047,C102119,2022-02-26,500.0,0.145,12,current,0-30,0
