transaction_id,customer_id,transaction_datetime,transaction_type,merchant_category,merchant_name,currency,amount,fee
T1000000,C106145,2022-12-01 18:37:04,card_spend,food_delivery,Lazada,MYR,136.68,0.15
T1000001,C101973,2024-04-16 11:20:30,fx_spend,subscriptions,Maxis,MYR,149.81,1.27
T1000002,C105176,2024-07-21 00:14:42,card_spend,ride_hailing,Maxis,MYR,62.2,0.0
T1000003,C107964,2024-07-18 12:55:57,card_spend,food_delivery,Lazada,MYR,83.11,0.87
T1000004,C100224,2025-03-23 22:20:59,card_spend,food_delivery,Shopee,MYR,6.71,0.94
T1000005,C105487,10/08/2022 00:50,transfer_out,electronics,Grab,MYR,506.42,1.34
T1000006,C102527,2023-12-14 04:32:31,card_spend,subscriptions,Samsung,MYR,140.94,
T1000007,C102810,2024-06-01 11:30:46,cash_withdrawal,ride_hailing,Lazada,USD,232.69,1.92
T1000008,C103603,2024-12-05 11:13:14,card_spend,ride_hailing,Lazada,MYR,156.65,0.56
T1000009,C104412,2022-12-24 04:47:28,fx_spend,ride_hailing,Lazada,MYR,28.4,2.1
T1000010,C104610,2023-06-10 13:41:40,fx_spend,food_delivery,Netflix,SGD,22.77,1.71
T1000011,C103951,05/11/2024 21:37,card_spend,subscriptions,Samsung,MYR,39.47,0.07
T1000012,C103047,2023-03-13 22:47:18,cash_withdrawal,subscriptions,Shopee,MYR,324.06,1.76
T1000013,C106482,2025-03-20 22:22:23,transfer_out,travel,TNB,SGD,156.93,0.98
T1000014,C104838,2025-09-03 07:34:11,transfer_in,travel,Shopee,VND,248.94,0.0
T1000015,C106000,2025-07-11 07:26:29,transfer_out,utilities,Grab,MYR,148.46,0.61
T1000016,C100675,2023-02-13 18:33:34,cash_withdrawal,ride_hailing,AEON,MYR,303.12,2.28
T1000017,C100142,2024-12-02 02:07:41,transfer_in,ecommerce,AEON,MYR,310.47,0.0
T1000018,C101569,22/02/2023 11:14,transfer_in,ride_hailing,Netflix,MYR,246.75,0.0
T1000019,C105067,2023-06-07 23:18:52,card_spend,ecommerce,Tesco,MYR,95.04,0.8
T1000020,C105558,08/05/2025 05:54,card_spend,ride_hailing,Lazada,SGD,94.61,0.76
T1000021,C106716,2024-04-21 01:39:43,card_spend,travel,Maxis,MYR,119.9,0.13
T1000022,C107547,2025-03-08 20:03:27,card_spend,ecommerce,Maxis,USD,155.93,0.56
T1000023,C106567,2025-09-27 04:38:40,transfer_out,groceries,Samsung,MYR,121.38,2.02
T1000024,C101878,2025-04-24 00:14:38,transfer_in,ecommerce,Grab,MYR,39.94,0.0
T1000025,C100489,2024-08-17 10:16:49,card_spend,food_delivery,Samsung,SGD,25.45,0.5
T1000026,C100780,06/02/2022 03:42,card_spend,food_delivery,TNG,MYR,104.51,0.57
T1000027,C103425,2023-06-16 03:50:09,transfer_out,electronics,Maxis,VND,76.8,1.27
T1000028,C104978,2025-08-28 06:10:29,card_spend,food_delivery,Samsung,MYR,24.02,0.06
T1000029,C100769,2025-02-15 03:47:52,transfer_out,groceries,samsung,MYR,183.22,1.72
T1000030,C104094,2023-11-11 20:52:56,cash_withdrawal,ride_hailing,Samsung,MYR,116.11,1.7
T1000031,C106889,2025-06-15 23:10:54,card_spend,subscriptions,AirAsia,MYR,150.08,0.37
T1000032,C101518,2022-11-11 04:15:19,card_spend,electronics,Grab,MYR,162.49,0.4
T1000033,C103258,2024-10-09 20:27:11,card_spend,utilities,MAXIS,MYR,135.51,0.48
T1000034,C102142,2022-04-07 14:22:09,transfer_in,groceries,AirAsia,SGD,500.85,0.0
T1000035,C105433,2022-07-13 21:28:59,card_spend,utilities,Grab,MYR,58.42,0.45
T1000036,C100984,2024-07-07 18:49:29,card_spend,food_delivery,Tesco,VND,47.36,
T1000037,C105904,2025-03-05 19:34:10,cash_withdrawal,travel,Maxis,USD,381.99,2.41
T1000038,C102755,2024-07-21 18:17:52,card_spend,subscriptions,Shopee,MYR,63.25,0.7
T1000039,C107477,2023-05-16 19:19:48,card_spend,utilities,Shopee,VND,109.34,0.25
T1000040,C103609,2022-07-25 09:50:19,fx_spend,ride_hailing,Lazada,THB,19.35,0.4
T1000041,C102033,2023-09-07 20:58:09,cash_withdrawal,groceries,Grab,VND,225.84,1.71
T1000042,C100599,2022-04-27 10:02:42,card_spend,ride_hailing,AEON,IDR,91.3,0.0
T1000043,C101323,2025-04-05 12:50:04,transfer_in,ecommerce,Netflix,MYR,497.88,0.0
T1000044,C101095,2023-03-07 16:38:49,card_spend,food_delivery,Lazada,MYR,100.2,0.71
T1000045,C105400,23/12/2024 15:04,card_spend,groceries,Samsung,SGD,144.37,0.09
T1000046,C105385,2023-07-02 16:34:41,transfer_out,travel,Shopee,MYR,362.37,
T1000047,C104590,2025-05-17 06:22:10,fx_spend,ecommerce,Lazada,SGD,75.94,1.18
T1000048,C100624,21/11/2024 16:02,card_spend,ecommerce,Maxis,MYR,80.23,0.1
T1000049,C102750,2023-11-23 14:40:53,fx_spend,utilities,Samsung,VND,91.34,0.7
T1000050,C106233,21/09/2024 08:00,card_spend,subscriptions, Samsung,MYR,81.39,0.53
T1000051,C107487,2024-03-15 01:56:48,transfer_out,utilities,Maxis,USD,92.62,1.03
T1000052,C107826,2022-09-22 18:12:23,card_spend,food_delivery,Maxis,MYR,34.77,0.0
